id,menu,college,price,category,description
1,Takoyaki,12,5.00,Snack,A Japanese snack made of wheat flour-based batter and typically filled with minced or diced octopus.
2,Waffle,12,5.00,Snack,"A dish made from leavened batter or dough that is cooked between two plates that are patterned to give a characteristic size, shape, and surface impression."
3,Toast,12,5.00,Snack,"Slices of bread browned on both sides, often served with butter or spreads."
4,Kaya Ball,12,5.00,Snack,"Small pastry balls filled with kaya, a sweet coconut jam made from coconut milk, eggs, and sugar."
5,Chicken Satay,12,2.50,Snack,"Skewers of seasoned, grilled chicken, often served with peanut sauce."
6,Chicken Cut,12,8.00,Snack,"Pieces of chicken that are cut and prepared in a specific style, often breaded and fried."
7,Chicken Burger,12,3.50,Burger,A sandwich consisting of a cooked chicken patty placed inside a sliced bread roll or bun.
8,Beef Burger,12,3.50,Burger,A sandwich consisting of a cooked beef patty placed inside a sliced bread roll or bun.
9,Chicken Burger Double,12,5.00,Burger,A sandwich consisting of two cooked chicken patties placed inside a sliced bread roll or bun.
10,Beef Burger Double,12,5.00,Burger,A sandwich consisting of two cooked beef patties placed inside a sliced bread roll or bun.
11,Iced Mango,12,4.00,Drink,"A cold beverage made with mango juice or puree, often served with ice."
12,Mango Float,12,6.60,Drink,"A cold beverage made with mango juice or puree, topped with ice cream."
13,Iced Dragon Fruit,12,4.00,Drink,"A cold beverage made with dragon fruit juice or puree, often served with ice."
14,Iced Blueberry,12,4.00,Drink,"A cold beverage made with blueberry juice or puree, often served with ice."
15,Dragon Fruit Float,12,6.60,Drink,"A cold beverage made with dragon fruit juice or puree, topped with ice cream."
16,Blueberry Float,12,6.60,Drink,"A cold beverage made with blueberry juice or puree, topped with ice cream."
17,French Fries,12,6.00,Snack,Strips of potato that are deep-fried until crispy and golden brown.
18,Chicken Shawarma,12,6.00,Eastern,A Middle Eastern dish consisting of seasoned chicken cooked on a vertical rotisserie and served in a wrap or pita.
19,Beef Shawarma,12,8.00,Eastern,A Middle Eastern dish consisting of seasoned beef cooked on a vertical rotisserie and served in a wrap or pita.
